mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.08801937103271484,0.0024961925921809878,0.0058409372965494795,0.0005191235693685813,10,1,2,50,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",1.0,0.9961538461538462,0.9961389961389961,0.9974309474309475,0.0018166046089067626,79
0.17232020696004233,0.0009021943501882133,0.008050362269083658,0.00026074290736988686,10,1,2,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",1.0,0.9923076923076923,1.0,0.9974358974358974,0.0036261886214694616,41
0.34916146596272785,0.006376910803913698,0.01390369733174642,0.00032793608641720653,10,1,2,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",1.0,0.9961538461538462,1.0,0.9987179487179487,0.0018130943107347308,1
0.08988221486409505,0.0033251779540454584,0.0050008296966552734,0.00023680786596400969,10,1,5,50,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",1.0,0.9961538461538462,1.0,0.9987179487179487,0.0018130943107347308,1
0.1733123461405436,0.0017544672871508897,0.008470853169759115,0.00042758253830146967,10,1,5,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",1.0,0.9923076923076923,1.0,0.9974358974358974,0.0036261886214694616,41
0.3449191252390544,0.003569913584522573,0.01344919204711914,0.00010071560109777453,10,1,5,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",1.0,0.9961538461538462,1.0,0.9987179487179487,0.0018130943107347308,1
0.08809677759806316,0.0008851228302408039,0.004825909932454427,2.7589561541091065e-05,10,1,10,50,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",1.0,0.9923076923076923,1.0,0.9974358974358974,0.0036261886214694616,41
0.17319981257120767,0.0015295683980837836,0.007663647333780925,5.9646062236378714e-05,10,1,10,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",1.0,0.9923076923076923,1.0,0.9974358974358974,0.0036261886214694616,41
0.3435232639312744,0.00526526326143779,0.01343242327372233,0.0001586736496314854,10,1,10,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",1.0,0.9961538461538462,1.0,0.9987179487179487,0.0018130943107347308,1
0.08796270688374837,0.0007463725341422518,0.0050309499104817705,0.00013040084479622212,10,2,2,50,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",1.0,0.9961538461538462,1.0,0.9987179487179487,0.0018130943107347308,1
0.17381691932678223,0.0008968828025590614,0.007987419764200846,0.0004644149267509714,10,2,2,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",1.0,0.9923076923076923,1.0,0.9974358974358974,0.0036261886214694616,41
0.34227601687113446,0.00022818907010486775,0.013550758361816406,5.5268903035451145e-05,10,2,2,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",1.0,0.9961538461538462,1.0,0.9987179487179487,0.0018130943107347308,1
0.08815296490987141,0.0003893112019402619,0.004836638768513997,0.00010960969874897451,10,2,5,50,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",1.0,0.9961538461538462,1.0,0.9987179487179487,0.0018130943107347308,1
0.17408553759256998,0.0009166772465063472,0.007831732432047525,0.00016940254769538416,10,2,5,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",1.0,0.9961538461538462,1.0,0.9987179487179487,0.0018130943107347308,1
0.34452422459920246,0.006221654589005679,0.013428529103597006,0.0001137864307931083,10,2,5,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",1.0,0.9961538461538462,1.0,0.9987179487179487,0.0018130943107347308,1
0.08720850944519043,0.0002504417422608063,0.0049173831939697266,0.00014594424171617126,10,2,10,50,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",1.0,0.9923076923076923,1.0,0.9974358974358974,0.0036261886214694616,41
0.17145212491353354,0.0002865636822807444,0.00816496213277181,0.00036341031377121294,10,2,10,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",1.0,0.9923076923076923,1.0,0.9974358974358974,0.0036261886214694616,41
0.34084320068359375,0.0022902391497577577,0.013731241226196289,0.0003388412026253589,10,2,10,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",1.0,0.9961538461538462,1.0,0.9987179487179487,0.0018130943107347308,1
0.08756597836812337,0.0008598189442506672,0.004772663116455078,5.455810371374654e-05,10,4,2,50,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",1.0,0.9961538461538462,1.0,0.9987179487179487,0.0018130943107347308,1
0.17283360163370767,0.0011743421180701714,0.007964452107747396,0.0001389253328797303,10,4,2,100,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",1.0,0.9923076923076923,1.0,0.9974358974358974,0.0036261886214694616,41
